Amarelo
Amiga
Amor
Autocarro
Ave
Avião
Avó
Balão
Bebé
Bolo
Branco
Cama
Caneca
Celular
Clube
Copo
Doce
Elefante
Escola
Estojo
Faca
Fotografia
Garfo
Geleia
Girafa
Janela
Limonada
Mãe
Meia
Noite
Óculos
Ovo
Pai
Pão
Parque
Passarinho
Peixe
Pijama
Rato
Umbigo
